IsolateID
T15-L1-F18
T24-L1-F11
T24-L1-F13
T25-L2-F12
T26-L3-F21
T26-L3-F23
T26-L3-F7
T32-L3-F17
T36-L2-F21
T36-L3-F17
T38-L1-F2
T4-L2-F20
T15-L1-F11
T15-L1-F14
T15-L1-F15
T15-L1-F16
T15-L1-F22
T54-L3-F4
