"Time_period","Site","Temp_mean","Temp_min","Temp_max","Temp_range","VPD_mean","VPD_min","VPD_max","VPD_range"
"All",5,11.2020700800231,7.31812389380531,16.5524424778761,9.2343185840708,491.63867692663,159.990932138987,1184.76344508119,1024.7725129422
"All",9,11.1415140255516,5.91832743362832,18.6997433628319,12.7814159292035,562.648765268201,117.779262971445,1467.57370993868,1349.79444696723
"All",10,10.8837656017338,6.11204424778761,17.3141946902655,11.2021504424779,514.679767610239,146.799614663028,1216.8702275149,1070.07061285187
"All",11,10.8272026762037,5.34365486725664,18.5270088495575,13.1833539823009,527.594102880632,98.9748675454085,1431.9423018645,1332.96743431909
"All",15,9.95468670280064,4.52485840707965,17.3420884955752,12.8172300884956,440.450042231944,56.7560145425565,1227.64522558387,1170.88921104132
"All",18,9.85348802696812,4.30558407079646,17.1228318584071,12.8172477876106,424.429573985552,47.2545820496416,1180.49999329722,1133.24541124758
"All",19,8.8451876001334,3.25916814159292,18.4229292035398,15.1637610619469,350.94913824891,13.7686578781275,1493.4159741345,1479.64731625637
"All",28,11.0853632753677,6.04705309734513,18.559814159292,12.5127610619469,535.36882252654,101.028419409477,1405.99514482229,1304.96672541281
"All",37,11.0914016174337,5.97881415929204,18.5355752212389,12.5567610619469,565.675951995106,127.48348990696,1453.31983165693,1325.83634174997
"All",38,11.2012654947692,6.00071681415929,19.0859557522124,13.0852389380531,563.991265073324,132.267717473686,1463.42152276299,1331.15380528931
"All",43,11.2056705319274,7.11249557522124,18.916982300885,11.8044867256637,522.015539910686,148.672989867336,1532.15318969845,1383.48019983111
"All",45,10.1427316270259,5.74848672566372,17.1635752212389,11.4150884955752,399.900328372915,63.4863726771175,1190.61179807503,1127.12542539792
"All",47,11.1011745810728,7.14876991150442,16.305796460177,9.15702654867257,473.407935314077,147.600864808241,1046.17547163813,898.574606829889
"All",49,11.9823252229323,6.9086814159292,20.6093362831858,13.7006548672566,635.551768861669,157.252106221763,1677.77871411689,1520.52660789513
"All",51,10.377695296223,5.19282300884956,16.2950796460177,11.1022566371681,439.533366933882,71.0685760885996,1056.176511635,985.107935546402
"All",52,10.6490946295299,4.61090265486726,18.1352123893805,13.5243097345133,485.583349552569,43.6787951740292,1402.32378352983,1358.6449883558
"All",54,9.89688852683127,4.32699107142857,17.1821160714286,12.855125,412.511164495385,31.1361983221025,1193.00433009063,1161.86813176853
"All",58,9.76750423396662,3.50440707964602,20.3346194690265,16.8302123893805,448.944486250386,12.6859617856064,1732.02174046043,1719.33577867482
"All",61,11.0538880921193,5.65374336283186,20.7685663716814,15.1148230088496,557.609198477708,82.1574435851909,1802.83174080488,1720.67429721969
"All",65,9.96920105668668,4.23311504424779,18.4848053097345,14.2516902654867,432.751909670128,28.08983189041,1419.51769638086,1391.42786449045
"All",67,10.6392265113902,4.48425663716814,18.455407079646,13.9711504424779,496.705580963774,37.8986823219359,1387.90525407641,1350.00657175447
"All",72,11.7279196891288,7.28999107142857,18.4785803571429,11.1885892857143,567.408330977239,163.783568449445,1371.58856120517,1207.80499275573
"All",74,12.6885582062971,7.52536283185841,21.0116902654867,13.4863274336283,740.257604078368,248.20435271315,1767.83191267418,1519.62755996103
"All",75,11.4562123842234,7.1526814159292,17.1298318584071,9.97715044247788,554.851582410404,211.27167429801,1099.37375015491,888.102075856899
"All",76,11.8231134607127,7.35738392857143,17.0708214285714,9.7134375,600.577278141017,226.778567127758,1183.99966209078,957.221094963026
"All",79,11.6495861026879,6.17810619469027,18.7776725663717,12.5995663716814,614.594720761372,145.966267949777,1434.09117365022,1288.12490570045
"All",87,9.11782113075986,3.5166814159292,17.277796460177,13.7611150442478,358.489092041206,11.6236330630887,1217.11608806994,1205.49245500685
"All",92,10.4955549461939,4.50921428571429,20.0487232142857,15.5395089285714,512.305992113772,55.3508991859693,1619.77377912399,1564.42287993802
"All",94,11.3405934149595,7.01266371681416,16.4884690265487,9.47580530973451,546.345533407076,205.181019353239,1078.61785880891,873.436839455676
"All",95,12.2791542239167,6.7673982300885,20.397,13.6296017699115,694.729647040601,188.704998698237,1720.60921386554,1531.9042151673
"All",97,11.7496721417717,8.0392389380531,16.7646902654867,8.72545132743363,532.683880310331,193.922189297457,1096.3148122419,902.392622944444
"All",98,11.0629498615387,7.03091150442478,16.4409026548673,9.40999115044248,462.612410088162,134.620397003423,1033.91930694702,899.298909943601
