PlateID,LichenID,TeamID,Thallus_location,Infected,Lichen_mass_mg,Frac_extract,Init_vol_ml,Dilution_factor,Plate_vol_ml,Incubation_days,Incubation_temp_C,Num_colonies,Num_morphotypes,Notes,Exclude,Verified
W17-T31-L1-P1,W17-T31-L1,W17-3,internal,FALSE,48,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T31-L1-P2,W17-T31-L1,W17-3,internal,TRUE,49,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T4-L1-P1,W17-T4-L1,W17-3,external,,47.8,0.8,1,1,0.1,14,22,2640,6,,,TRUE
W17-T4-L1-P2,W17-T4-L1,W17-3,internal,,47.8,0.8,1,1,0.1,14,22,0,0,,,
W17-T4-L2-P1,W17-T4-L2,W17-3,external,,50.2,0.8,1,1,0.1,14,22,101,6,,,TRUE
W17-T4-L2-P2,W17-T4-L2,W17-3,internal,,50.2,0.8,1,1,0.1,14,22,0,0,,,
W17-T4-L3-P1,W17-T4-L3,W17-3,external,,7.2,0.8,1,1,0.1,14,22,110,6,,,TRUE
W17-T4-L3-P2,W17-T4-L3,W17-3,internal,,7.2,0.8,1,1,0.1,14,22,0,0,,,
W17-T4-L4-P1,W17-T4-L4,W17-3,internal,FALSE,56,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T4-L4-P2,W17-T4-L4,W17-3,internal,TRUE,88,0.8,1,1,0.1,14,22,939,,,,TRUE
W17-T40-L1-P1,W17-T40-L1,W17-3,internal,FALSE,62,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T40-L1-P2,W17-T40-L1,W17-3,internal,TRUE,59,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T42-L1-P1,W17-T42-L1,W17-3,external,,53.3,0.8,1,1,0.1,14,22,15,2,,,TRUE
W17-T42-L1-P2,W17-T42-L1,W17-3,internal,,53.3,0.8,1,1,0.1,14,22,46,1,,,
W17-T42-L2-P1,W17-T42-L2,W17-3,external,,14.6,0.8,1,1,0.1,14,22,2,1,,,TRUE
W17-T42-L2-P2,W17-T42-L2,W17-3,internal,,14.6,0.8,1,1,0.1,14,22,59,1,,,
W17-T42-L3-P1,W17-T42-L3,W17-3,external,,91.9,0.8,1,1,0.1,14,22,132,5,,,TRUE
W17-T42-L3-P2,W17-T42-L3,W17-3,internal,,91.9,0.8,1,1,0.1,14,22,4,1,,,
W17-T42-L4-P1,W17-T42-L4,W17-3,internal,FALSE,47,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T42-L4-P2,W17-T42-L4,W17-3,internal,TRUE,53,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T1-L1-P1,W17-T1-L1,W17-4,external,,6.7,0.8,1,1,0.1,14,22,3,2,,,TRUE
W17-T1-L1-P2,W17-T1-L1,W17-4,internal,,6.7,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T1-L2-P1,W17-T1-L2,W17-4,external,,31.2,0.8,1,1,0.1,14,22,,2,too many colonies to count,,TRUE
