"TeamID","PlateID","EcoplateID","Sample.ID","Read.ID","Plate","Day","DayNumber","Pyruvic.Acid.Methyl.Ester","Tween.40","Tween.80","alpha.Cyclodextrin","Glycogen","D.Cellobiose","alpha.D.Lactose","beta.Methyl.D.Glucoside","D.Xylose","i.Erythritol","D.Mannitol","N.Acetyl.D.Glucosamine","D.Glucosaminic.Acid","Glucose.1.Phosphate","alpha.Glycerol.Phosphate","D.Galactonic.Acid.gamma.Lactone","D.Galacturonic.Acid","X2.Hydroxy.Benzoic.Acid","X4.Hydroxy.Benzoic.Acid","gamma.Hydroxybutyric.Acid","Itaconic.Acid","alpha.Ketobutyric.Acid","D.Malic.Acid","L.Arginine","L.Asparagine","L.Phenylalanine","L.Serine","L.Threonine","Glycyl.L.Glutamic.Acid","Phenylethyl.amine","Putrescine","LichenID","Thallus_location","Infected","Lichen_mass_mg","Frac_extract","Init_vol_ml","Dilution_factor","Plate_vol_ml","Incubation_days","Incubation_temp_C","Num_colonies","Num_morphotypes","Notes","Exclude","Verified"
"W17-2","W17-T25-L3-P2","W17-2-E4","Sample_3","Team-2_Plate-4_Day-12","Plate-4","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,"W17-T25-L3","internal",NA,21.3,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L4-P1","W17-2-E7","Sample_3","Team-2_Plate-7_Day-11","Plate-7","Day-11",11,NA,0.02,NA,NA,NA,NA,NA,0.03,0.023,NA,NA,NA,NA,NA,NA,0.039,0.044,0.037,NA,NA,NA,NA,NA,0.08,NA,0.025,0.036,NA,0.301,NA,NA,"W17-T25-L4","internal",FALSE,47,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T25-L4-P2","W17-2-E5","Sample_3","Team-2_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T25-L4","internal",TRUE,66,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T34-L1-P1","W17-2-E8","Sample_1","Team-2_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,0.149,NA,NA,0.079,0.005,0.019,NA,NA,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,NA,"W17-T34-L1","internal",FALSE,45,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T34-L1-P2","W17-2-E6","Sample_1","Team-2_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T34-L1","internal",TRUE,55,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T38-L1-P1","W17-2-E1","Sample_1","Team-2_Plate-1_Day-12","Plate-1","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W17-2","W17-T38-L1-P2","W17-2-E2","Sample_1","Team-2_Plate-2_Day-12","Plate-2","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W17-2","W17-T38-L2-P1","W17-2-E1","Sample_2","Team-2_Plate-1_Day-12","Plate-1","Day-12",12,NA,0.417,NA,NA,NA,0.155,NA,0.001,NA,NA,0.128,0.526,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,"W17-T38-L2","external",NA,5,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T38-L2-P2","W17-2-E2","Sample_2","Team-2_Plate-2_Day-12","Plate-2","Day-12",12,0.02,0.039,0.019,0.035,0.041,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.021,NA,0.038,0.023,0.015,NA,NA,NA,NA,0.078,0.01,NA,0.007,0.005,NA,NA,"W17-T38-L2","internal",NA,5,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T38-L3-P1","W17-2-E1","Sample_3","Team-2_Plate-1_Day-12","Plate-1","Day-12",12,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T38-L3","external",NA,13.4,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T38-L3-P2","W17-2-E2","Sample_3","Team-2_Plate-2_Day-12","Plate-2","Day-12",12,0.083,NA,0.008,NA,NA,NA,NA,0.056,0.005,0.023,0.013,NA,NA,0.044,NA,0.087,0.059,0.008,0.02,0.019,0.046,0.038,NA,0.127,0.09,0.086,0.095,0.051,0.04,0.02,NA,"W17-T38-L3","internal",NA,13.4,0.8,1,1,0.1,14,22,1,1,"",NA,TRUE
"W17-2","W17-T38-L4-P1","W17-2-E8","Sample_2","Team-2_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,0.056,0.022,NA,NA,NA,NA,NA,NA,0.087,0.008,NA,NA,NA,NA,NA,NA,"W17-T38-L4","internal",FALSE,53,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T38-L4-P2","W17-2-E6","Sample_2","Team-2_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,0.054,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,"W17-T38-L4","internal",TRUE,65,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T44-L1-P1","W17-2-E8","Sample_3","Team-2_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T44-L1","internal",FALSE,43,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T44-L1-P2","W17-2-E6","Sample_3","Team-2_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T44-L1","internal",TRUE,57,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T7-L1-P1","W17-2-E7","Sample_1","Team-2_Plate-7_Day-11","Plate-7","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,0.028,0.012,NA,0.409,0.017,NA,NA,NA,0.006,0.042,0.117,0.015,0.012,NA,NA,NA,"W17-T7-L1","internal",FALSE,50,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-2","W17-T7-L1-P2","W17-2-E5","Sample_1","Team-2_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,0.039,0.01,NA,NA,NA,NA,NA,NA,"W17-T7-L1","internal",TRUE,60,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-3","W17-T10-L1-P1","W17-3-E7","Sample_3","Team-3_Plate-7_Day-11","Plate-7","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,"W17-T10-L1","internal",FALSE,60,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-3","W17-T10-L1-P2","W17-3-E5","Sample_3","Team-3_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T10-L1","internal",TRUE,67,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-3","W17-T18-L1-P1","W17-3-E7","Sample_1","Team-3_Plate-7_Day-11","Plate-7","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,"W17-T18-L1","internal",FALSE,86,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-3","W17-T18-L1-P2","W17-3-E5","Sample_1","Team-3_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.293,0.118,NA,NA,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,"W17-T18-L1","internal",TRUE,54,0.8,1,1,0.1,14,22,1,1,"",NA,TRUE
"W17-3","W17-T31-L1-P1","W17-3-E6","Sample_1","Team-3_Plate-6_Day-11","Plate-6","Day-11",11,0.038,NA,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,0.05,0.016,NA,NA,NA,NA,NA,NA,"W17-T31-L1","internal",FALSE,48,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-3","W17-T31-L1-P2","W17-3-E8","Sample_1","Team-3_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T31-L1","internal",TRUE,49,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-3","W17-T4-L1-P1","W17-3-E1","Sample_1","Team-3_Plate-1_Day-12","Plate-1","Day-12",12,0.076,0.46,0.232,NA,0.316,0.353,0.759,0.709,0.514,0.35,0.462,0.433,NA,NA,NA,NA,NA,NA,0.188,NA,NA,NA,NA,0.173,0.053,NA,0.071,NA,NA,NA,NA,"W17-T4-L1","external",NA,47.8,0.8,1,1,0.1,14,22,2640,6,"",NA,TRUE
"W17-3","W17-T4-L1-P2","W17-3-E2","Sample_1","Team-3_Plate-2_Day-12","Plate-2","Day-12",12,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,0.021,0.085,NA,NA,NA,NA,NA,NA,"W17-T4-L1","internal",NA,47.8,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-3","W17-T4-L2-P1","W17-3-E1","Sample_2","Team-3_Plate-1_Day-12","Plate-1","Day-12",12,0.064,0.524,0.019,0.018,0.326,0.387,0.211,0.324,0.62,0.24,0.382,0.414,NA,NA,NA,0.051,NA,NA,0.074,NA,NA,NA,NA,0.026,NA,NA,0.034,NA,0.015,NA,NA,"W17-T4-L2","external",NA,50.2,0.8,1,1,0.1,14,22,101,6,"",NA,TRUE
"W17-3","W17-T4-L2-P2","W17-3-E2","Sample_2","Team-3_Plate-2_Day-12","Plate-2","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T4-L2","internal",NA,50.2,0.8,1,1,0.1,14,22,0,0,"",NA,NA
"W17-3","W17-T4-L3-P1","W17-3-E1","Sample_3","Team-3_Plate-1_Day-12","Plate-1","Day-12",12,0.426,0.678,0.707,NA,1.038,0.968,0.837,0.829,0.811,0.318,0.853,0.678,0.721,NA,NA,0.449,1.52,0.019,0.238,NA,0.073,0.324,1.257,0.304,0.847,0.487,0.303,0.015,NA,NA,NA,"W17-T4-L3","external",NA,7.2,0.8,1,1,0.1,14,22,110,6,"",NA,TRUE
